transaction_id,target,transaction_amount,merchant_country,cardholder_country,is_foreign,transaction_hour,account_age_days,days_since_last,txn_count_30days,high_risk_amount,high_risk_country,new_account,dormant_reactivation
1,0,116,US,US,0,10,3611,56,2,0,0,0,0
2,0,62,US,US,0,19,2095,22,1,0,0,0,0
3,1,777,TH,US,1,11,397,6,28,0,1,0,0
4,1,479,US,US,0,18,28,6,9,0,0,1,0
5,0,97,US,US,0,21,646,30,3,0,0,0,0
6,1,3627,PH,US,1,18,784,5,8,1,1,0,0
7,0,105,US,US,0,13,2892,16,1,0,0,0,0
8,0,114,US,US,0,10,2159,90,1,0,0,0,1
9,0,61,US,US,0,2,1918,54,2,0,0,0,0
10,1,373,BR,US,1,21,886,1,4,0,1,0,0
11,0,53,US,US,0,16,2779,8,4,0,0,0,0
12,1,164,CN,US,1,2,1331,6,21,0,1,0,0
13,0,30,US,US,0,13,1,87,7,0,0,1,0
14,1,519,ID,US,1,1,1516,4,19,0,1,0,0
15,1,2239,BR,US,1,10,95,29,11,1,1,0,0
16,1,367,KP,US,1,2,28,5,26,0,1,1,0
17,0,67,US,US,0,20,1904,54,3,0,0,0,0
18,0,75,US,US,0,8,1823,6,4,0,0,0,0
19,0,880,US,US,0,10,2,40,14,0,0,1,0
20,1,178,RU,US,1,1,18,6,3,0,1,1,0
21,0,133,DE,US,1,11,29,9,1,0,0,1,0
22,1,453,KP,US,1,3,1182,4,9,0,1,0,0
23,1,65,US,US,0,18,15,5,16,0,0,1,0
24,0,68,US,GB,1,5,2146,36,4,0,0,0,0
25,0,74,US,US,0,16,974,12,9,0,0,0,0
26,1,535,BR,US,1,2,90,4,7,0,1,0,0
27,0,31,US,US,0,9,3511,90,2,0,0,0,1
28,0,42,US,US,0,18,1721,51,4,0,0,0,0
29,0,77,US,US,0,13,2811,35,12,0,0,0,0
30,1,2040,ID,US,1,3,22,2,6,1,1,1,0
31,0,65,US,US,0,15,976,53,9,0,0,0,0
32,0,41,US,US,0,14,430,20,1,0,0,0,0
33,0,251,US,CA,1,13,1050,84,3,0,0,0,1
34,0,64,US,GB,1,17,2659,41,1,0,0,0,0
35,1,2206,BR,US,1,18,23,58,1,1,1,1,0
36,0,68,US,US,0,8,663,87,2,0,0,0,1
37,0,94,US,US,0,22,898,38,3,0,0,0,0
38,0,56,US,US,0,19,1,57,3,0,0,1,0
39,1,97,KP,US,1,21,802,1,3,0,1,0,0
40,0,88,US,US,0,9,3137,6,1,0,0,0,0
41,0,190,US,US,0,10,3323,16,12,0,0,0,0
42,0,127,US,US,0,12,29,79,4,0,0,1,0
43,0,32,US,US,0,2,3285,75,14,0,0,0,1
44,1,2769,CN,US,1,18,27,7,8,1,1,1,0
45,0,444,US,US,0,9,5,58,4,0,0,1,0
46,0,40,US,US,0,21,22,46,9,0,0,1,0
47,1,120,PH,US,1,1,13,43,15,0,1,1,0
48,1,1753,CN,US,1,0,14,20,7,1,1,1,0
49,0,84,US,US,0,3,78,40,13,0,0,0,0
50,0,62,US,US,0,20,2,11,2,0,0,1,0
51,0,63,US,US,0,16,1112,82,1,0,0,0,1
52,1,1446,VN,US,1,2,1019,5,9,0,1,0,0
53,1,21,PH,US,1,21,25,3,23,0,1,1,0
54,0,626,US,US,0,18,3501,3,9,0,0,0,0
55,0,51,US,US,0,16,853,89,11,0,0,0,1
56,0,166,US,US,0,21,8,75,13,0,0,1,0
57,0,41,MX,US,1,11,434,21,1,0,0,0,0
58,0,57,US,US,0,20,894,50,2,0,0,0,0
59,0,101,US,US,0,8,30,29,5,0,0,1,0
60,0,281,US,US,0,8,3578,65,6,0,0,0,1
61,0,469,US,US,0,13,1868,60,5,0,0,0,0
62,1,1523,US,US,0,22,1235,7,19,1,0,0,0
63,1,130,US,US,0,19,788,16,17,0,0,0,0
64,0,44,US,US,0,15,3389,39,12,0,0,0,0
65,1,1166,US,US,0,21,11,4,18,0,0,1,0
66,1,70,NG,US,1,2,6,33,2,0,1,1,0
67,0,58,KR,US,1,14,4,72,1,0,0,1,0
68,0,125,US,US,0,19,2514,28,15,0,0,0,0
69,1,149,TH,US,1,14,4,2,10,0,1,1,0
70,1,37,ID,US,1,22,3,7,22,0,1,1,0
71,0,100,US,US,0,22,2874,1,11,0,0,0,0
72,1,166,VN,US,1,2,711,27,15,0,1,0,0
73,1,36,US,US,0,0,1099,6,1,0,0,0,0
74,1,49,US,US,0,9,266,13,14,0,0,0,0
75,1,88,BR,US,1,3,3,3,4,0,1,1,0
76,0,41,US,US,0,15,3561,47,10,0,0,0,0
77,0,47,US,US,0,9,1164,66,2,0,0,0,1
78,0,47,US,US,0,2,1083,53,5,0,0,0,0
79,0,68,US,US,0,11,1504,25,5,0,0,0,0
80,1,92,TH,US,1,0,1459,39,19,0,1,0,0
81,0,58,US,US,0,21,3131,11,7,0,0,0,0
82,0,94,US,US,0,1,3063,66,5,0,0,0,1
83,0,46,GB,US,1,15,1075,61,1,0,0,0,1
84,0,62,US,US,0,8,9,80,3,0,0,1,0
85,1,4256,ID,US,1,22,1747,2,5,1,1,0,0
86,0,141,US,US,0,13,308,44,15,0,0,0,0
87,0,18,AU,US,1,10,611,7,3,0,0,0,0
88,1,149,US,US,0,18,616,2,5,0,0,0,0
89,0,50,US,US,0,8,214,3,6,0,0,0,0
90,1,67,KP,US,1,15,459,3,14,0,1,0,0
91,1,137,NG,US,1,22,17,2,1,0,1,1,0
92,1,905,NG,US,1,10,2,21,2,0,1,1,0
93,0,3,US,US,0,5,3228,73,15,0,0,0,1
94,0,80,US,US,0,10,3127,73,1,0,0,0,1
95,0,11,US,US,0,16,2129,68,2,0,0,0,1
96,0,64,US,US,0,15,3474,45,5,0,0,0,0
97,0,144,US,GB,1,20,944,36,4,0,0,0,0
98,0,29,US,US,0,18,4,56,1,0,0,1,0
99,0,42,US,US,0,19,504,74,4,0,0,0,1
100,0,414,US,US,0,21,2819,40,9,0,0,0,0
101,0,212,US,US,0,0,2471,54,9,0,0,0,0
102,0,82,US,US,0,8,1002,49,9,0,0,0,0
103,1,1671,US,US,0,3,1028,1,6,1,0,0,0
104,0,62,US,US,0,15,11,22,9,0,0,1,0
105,0,39,US,US,0,9,2755,56,12,0,0,0,0
106,1,586,NG,US,1,14,3,28,29,0,1,1,0
107,1,2158,US,US,0,19,11,1,27,1,0,1,0
108,0,35,US,US,0,11,1892,43,5,0,0,0,0
109,1,1412,US,US,0,2,724,1,16,0,0,0,0
110,1,123,ID,US,1,17,8,4,3,0,1,1,0
111,1,65,US,US,0,20,16,5,5,0,0,1,0
112,1,2340,KP,US,1,0,566,55,10,1,1,0,0
113,0,58,US,US,0,14,970,51,3,0,0,0,0
114,0,50,US,US,0,2,1874,10,4,0,0,0,0
